studentID,studentName,supply_id,resource_type,item,department,building,location,weekday,start_time,end_time
U100001,Jordan Lee,8,School Supplies,Pencil Bags,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100001,Jordan Lee,2,Food,Snack,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100001,Jordan Lee,18,Other Supplies,Ear Plugs,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100001,Jordan Lee,16,School Supplies,Calculator,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100001,Jordan Lee,15,School Supplies,Color Paper,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100001,Jordan Lee,9,School Supplies,Blue Books,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100002,Chris Thomas,7,School Supplies,Erasers,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100002,Chris Thomas,44,School Supplies,Index Cards,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100002,Chris Thomas,35,Hygeine ,Toothbrush,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100002,Chris Thomas,6,School Supplies,Highlighters,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100002,Chris Thomas,38,Food,Snack,Office of Student Involvement,Granite Pass 163,Granite,Monday-Friday,8:00 AM,5:00 PM
U100002,Chris Thomas,28,Food,Snack,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100003,Reese Jackson,2,Food,Snack,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100003,Reese Jackson,6,School Supplies,Highlighters,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100003,Reese Jackson,14,School Supplies,Paper Clips,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100003,Reese Jackson,15,School Supplies,Color Paper,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100004,Alex Brown,39,School Supplies,CSET Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100004,Alex Brown,2,Food,Snack,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100004,Alex Brown,36,Hygeine ,Toothpaste,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100004,Alex Brown,13,School Supplies,Folders,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100004,Alex Brown,42,School Supplies,CBEST Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100004,Alex Brown,35,Hygeine ,Toothbrush,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100005,Reese Lee,15,School Supplies,Color Paper,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100005,Reese Lee,29,Food,Fruit,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100005,Reese Lee,38,Food,Snack,Office of Student Involvement,Granite Pass 163,Granite,Monday-Friday,8:00 AM,5:00 PM
U100005,Reese Lee,18,Other Supplies,Ear Plugs,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100005,Reese Lee,1,Free Printing,Printing,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100006,Skyler Lee,45,School Supplies,Calculator,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100006,Skyler Lee,28,Food,Snack,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100006,Skyler Lee,22,Food,Snack,Social Justice Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100006,Skyler Lee,18,Other Supplies,Ear Plugs,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100007,Skyler Nguyen,14,School Supplies,Paper Clips,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100007,Skyler Nguyen,22,Food,Snack,Social Justice Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100007,Skyler Nguyen,7,School Supplies,Erasers,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100007,Skyler Nguyen,6,School Supplies,Highlighters,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100008,Robin Patel,7,School Supplies,Erasers,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100008,Robin Patel,23,Other Supplies,Professional Clothing,Basic Needs Center,,,,,
U100008,Robin Patel,39,School Supplies,CSET Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100008,Robin Patel,17,Other Supplies,Condoms,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100008,Robin Patel,3,Food,Drink,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100009,Skyler Jackson,30,Food,Vegetable,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100009,Skyler Jackson,35,Hygeine ,Toothbrush,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100009,Skyler Jackson,8,School Supplies,Pencil Bags,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100009,Skyler Jackson,25,Other Supplies,Ear Plugs,Basic Needs Center,,,,,
U100009,Skyler Jackson,6,School Supplies,Highlighters,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100009,Skyler Jackson,36,Hygeine ,Toothpaste,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100010,Skyler Martinez,41,School Supplies,GRE Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100010,Skyler Martinez,40,School Supplies,LSAT Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100010,Skyler Martinez,24,Other Supplies,Condoms,Basic Needs Center,,,,,
U100010,Skyler Martinez,37,Hygeine ,Deodorant,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100010,Skyler Martinez,13,School Supplies,Folders,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100011,Jamie Davis,5,School Supplies,Post-its,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100011,Jamie Davis,3,Food,Drink,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100011,Jamie Davis,43,School Supplies,Scantrons,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100011,Jamie Davis,15,School Supplies,Color Paper,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100011,Jamie Davis,19,Hygeine,Tampons,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100011,Jamie Davis,6,School Supplies,Highlighters,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100012,Jamie Harris,7,School Supplies,Erasers,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100012,Jamie Harris,25,Other Supplies,Ear Plugs,Basic Needs Center,,,,,
U100012,Jamie Harris,18,Other Supplies,Ear Plugs,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100012,Jamie Harris,30,Food,Vegetable,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100013,Robin Clark,24,Other Supplies,Condoms,Basic Needs Center,,,,,
U100013,Robin Clark,11,School Supplies,Staplers,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100013,Robin Clark,48,Food,Snack,ASUCM Office,Granite Pass 174,Granite,Wednesday,10:00 AM,5:00 PM
U100013,Robin Clark,23,Other Supplies,Professional Clothing,Basic Needs Center,,,,,
U100013,Robin Clark,14,School Supplies,Paper Clips,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100013,Robin Clark,43,School Supplies,Scantrons,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100014,Devin Thomas,45,School Supplies,Calculator,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100014,Devin Thomas,44,School Supplies,Index Cards,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100014,Devin Thomas,42,School Supplies,CBEST Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100014,Devin Thomas,5,School Supplies,Post-its,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100014,Devin Thomas,39,School Supplies,CSET Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100015,Alex Gonzalez,11,School Supplies,Staplers,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100015,Alex Gonzalez,35,Hygeine ,Toothbrush,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100015,Alex Gonzalez,16,School Supplies,Calculator,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100015,Alex Gonzalez,48,Food,Snack,ASUCM Office,Granite Pass 174,Granite,Wednesday,10:00 AM,5:00 PM
U100015,Alex Gonzalez,30,Food,Vegetable,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100015,Alex Gonzalez,25,Other Supplies,Ear Plugs,Basic Needs Center,,,,,
U100016,Riley Lee,41,School Supplies,GRE Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100016,Riley Lee,45,School Supplies,Calculator,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100016,Riley Lee,36,Hygeine ,Toothpaste,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100016,Riley Lee,15,School Supplies,Color Paper,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100016,Riley Lee,44,School Supplies,Index Cards,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100017,Taylor Lopez,4,School Supplies,Scantrons,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100017,Taylor Lopez,15,School Supplies,Color Paper,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100017,Taylor Lopez,3,Food,Drink,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100017,Taylor Lopez,21,Free Printing,Printing,Social Justice Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100017,Taylor Lopez,26,Hygeine,Tampons,Basic Needs Center,,,,,
U100018,Jordan Gonzalez,5,School Supplies,Post-its,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100018,Jordan Gonzalez,14,School Supplies,Paper Clips,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100018,Jordan Gonzalez,37,Hygeine ,Deodorant,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100018,Jordan Gonzalez,46,School Supplies,Portable Chargers,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100018,Jordan Gonzalez,21,Free Printing,Printing,Social Justice Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100019,Kai Thomas,42,School Supplies,CBEST Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100019,Kai Thomas,32,Hygeine,Pads,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100019,Kai Thomas,26,Hygeine,Tampons,Basic Needs Center,,,,,
U100019,Kai Thomas,30,Food,Vegetable,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100020,Jamie Thomas,17,Other Supplies,Condoms,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100020,Jamie Thomas,9,School Supplies,Blue Books,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100020,Jamie Thomas,16,School Supplies,Calculator,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100020,Jamie Thomas,48,Food,Snack,ASUCM Office,Granite Pass 174,Granite,Wednesday,10:00 AM,5:00 PM
U100021,Avery Harris,35,Hygeine ,Toothbrush,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100021,Avery Harris,17,Other Supplies,Condoms,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100021,Avery Harris,38,Food,Snack,Office of Student Involvement,Granite Pass 163,Granite,Monday-Friday,8:00 AM,5:00 PM
U100021,Avery Harris,28,Food,Snack,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100021,Avery Harris,46,School Supplies,Portable Chargers,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100021,Avery Harris,26,Hygeine,Tampons,Basic Needs Center,,,,,
U100022,Drew Patel,15,School Supplies,Color Paper,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100022,Drew Patel,9,School Supplies,Blue Books,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100022,Drew Patel,33,Hygeine,Tampons,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100022,Drew Patel,32,Hygeine,Pads,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100022,Drew Patel,6,School Supplies,Highlighters,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100023,Morgan Gonzalez,8,School Supplies,Pencil Bags,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100023,Morgan Gonzalez,10,School Supplies,Rulers,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100023,Morgan Gonzalez,41,School Supplies,GRE Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100023,Morgan Gonzalez,11,School Supplies,Staplers,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100024,Taylor Kim,28,Food,Snack,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100024,Taylor Kim,39,School Supplies,CSET Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100024,Taylor Kim,5,School Supplies,Post-its,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100024,Taylor Kim,25,Other Supplies,Ear Plugs,Basic Needs Center,,,,,
U100024,Taylor Kim,45,School Supplies,Calculator,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100024,Taylor Kim,47,School Supplies,Stickers,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100025,Chris Kim,34,Hygeine ,Soap,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100025,Chris Kim,17,Other Supplies,Condoms,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100025,Chris Kim,36,Hygeine ,Toothpaste,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100025,Chris Kim,1,Free Printing,Printing,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100025,Chris Kim,44,School Supplies,Index Cards,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100026,Sam White,8,School Supplies,Pencil Bags,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100026,Sam White,44,School Supplies,Index Cards,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100026,Sam White,35,Hygeine ,Toothbrush,Bobcat Pantry,TC 131,Terrace Center,,12:00 PM,5:30 PM
U100026,Sam White,18,Other Supplies,Ear Plugs,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100026,Sam White,42,School Supplies,CBEST Books,ASUCM Office,Granite Pass 174,Granite,Monday-Friday,8:00 AM,5:00 PM
U100026,Sam White,22,Food,Snack,Social Justice Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
U100027,Morgan Martinez,19,Hygeine,Tampons,Monarch Center,KL 127,Kolligian Library,Monday-Friday,9:00 AM,5:00 PM
