studentID,studentName,tutoring_id,resource_type,subject,department,building,location,weekday,start_time,end_time
U100001,Jordan Lee,23,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Thursday,3:00 PM,6:00 PM
U100001,Jordan Lee,10,STEM Tutoring,CHEM 1,STEM Center,SSB 330,Student Services Building,"Tuesday, Wednesday, Thursday",10:00 AM,5:00 PM
U100001,Jordan Lee,56,STEM Tutoring,PHYS 8,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,5:00 PM
U100001,Jordan Lee,26,STEM Tutoring,CSE 19,STEM Center,SSB 340,Student Services Building,Tuesday,3:00 PM,6:00 PM
U100001,Jordan Lee,24,STEM Tutoring,CSE 19,STEM Center,SSB 340,Student Services Building,"Monday, Wednesday",10:00 AM,5:00 PM
U100001,Jordan Lee,72,Writing Consultation,WRI,University Writing Center,KL 296,Kolligian Library,Sunday,4:00 PM,7:00 PM
U100002,Chris Thomas,22,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Thursday,10:00 AM,1:00 PM
U100002,Chris Thomas,20,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,1:00 PM
U100002,Chris Thomas,63,STEM Tutoring,PHYS 18,STEM Center,SSB 340,Student Services Building,Wednesday,10:30 AM,3:00 PM
U100002,Chris Thomas,13,STEM Tutoring,CHEM 8,STEM Center,SSB 330,Student Services Building,Monday,10:00 AM,4:00 PM
U100003,Reese Jackson,20,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,1:00 PM
U100003,Reese Jackson,36,STEM Tutoring,CSE 24,STEM Center,SSB 340,Student Services Building,Tuesday,3:00 PM,6:00 PM
U100003,Reese Jackson,38,STEM Tutoring,CSE 24,STEM Center,SSB 340,Student Services Building,Thursday,3:00 PM,6:00 PM
U100003,Reese Jackson,12,STEM Tutoring,CHEM 2,STEM Center,SSB 330,Student Services Building,"Tuesday, Wednesday, Thursday",10:00 AM,5:00 PM
U100004,Alex Brown,34,STEM Tutoring,CSE 24,STEM Center,SSB 340,Student Services Building,"Monday, Wednesday",10:00 AM,5:00 PM
U100004,Alex Brown,54,STEM Tutoring,MATH 32,STEM Center,SSB 320,Student Services Building,Friday,10:00 AM,3:00 PM
U100004,Alex Brown,50,STEM Tutoring,MATH 23,STEM Center,SSB 320,Student Services Building,Friday,10:00 AM,3:00 PM
U100004,Alex Brown,53,STEM Tutoring,MATH 32,STEM Center,SSB 320,Student Services Building,"Monday, Tuesday, Wednesday, Thursday",10:00 AM,6:00 PM
U100004,Alex Brown,43,STEM Tutoring,MATH 12,STEM Center,SSB 320,Student Services Building,"Monday, Tuesday, Wednesday, Thursday",10:00 AM,6:00 PM
U100004,Alex Brown,35,STEM Tutoring,CSE 24,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,1:00 PM
U100005,Reese Lee,66,STEM Tutoring,PHYS 19,STEM Center,SSB 340,Student Services Building,Wednesday,10:30 AM,3:00 PM
U100005,Reese Lee,44,STEM Tutoring,MATH 12,STEM Center,SSB 320,Student Services Building,Friday,10:00 AM,3:00 PM
U100005,Reese Lee,9,STEM Tutoring,CHEM 1,STEM Center,SSB 330,Student Services Building,Monday,10:00 AM,4:00 PM
U100005,Reese Lee,29,STEM Tutoring,CSE 22,STEM Center,SSB 340,Student Services Building,"Monday, Wednesday",10:00 AM,5:00 PM
U100006,Skyler Lee,63,STEM Tutoring,PHYS 18,STEM Center,SSB 340,Student Services Building,Wednesday,10:30 AM,3:00 PM
U100006,Skyler Lee,30,STEM Tutoring,CSE 22,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,1:00 PM
U100006,Skyler Lee,26,STEM Tutoring,CSE 19,STEM Center,SSB 340,Student Services Building,Tuesday,3:00 PM,6:00 PM
U100006,Skyler Lee,18,STEM Tutoring,CHEM 100,STEM Center,SSB 330,Student Services Building,"Tuesday, Wednesday, Thursday",10:00 AM,5:00 PM
U100006,Skyler Lee,22,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Thursday,10:00 AM,1:00 PM
U100006,Skyler Lee,57,STEM Tutoring,PHYS 8,STEM Center,SSB 340,Student Services Building,Wednesday,10:30 AM,3:00 PM
U100007,Skyler Nguyen,22,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Thursday,10:00 AM,1:00 PM
U100007,Skyler Nguyen,20,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,1:00 PM
U100007,Skyler Nguyen,57,STEM Tutoring,PHYS 8,STEM Center,SSB 340,Student Services Building,Wednesday,10:30 AM,3:00 PM
U100007,Skyler Nguyen,21,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Tuesday,3:00 PM,6:00 PM
U100007,Skyler Nguyen,54,STEM Tutoring,MATH 32,STEM Center,SSB 320,Student Services Building,Friday,10:00 AM,3:00 PM
U100008,Robin Patel,42,STEM Tutoring,MATH 11,STEM Center,SSB 320,Student Services Building,Friday,10:00 AM,3:00 PM
U100008,Robin Patel,14,STEM Tutoring,CHEM 8,STEM Center,SSB 330,Student Services Building,"Tuesday, Wednesday, Thursday",10:00 AM,5:00 PM
U100008,Robin Patel,67,STEM Tutoring,ENGR 57,STEM Center,SSB 340,Student Services Building,Monday,10:00 AM,11:00 AM
U100008,Robin Patel,24,STEM Tutoring,CSE 19,STEM Center,SSB 340,Student Services Building,"Monday, Wednesday",10:00 AM,5:00 PM
U100008,Robin Patel,57,STEM Tutoring,PHYS 8,STEM Center,SSB 340,Student Services Building,Wednesday,10:30 AM,3:00 PM
U100009,Skyler Jackson,46,STEM Tutoring,MATH 21,STEM Center,SSB 320,Student Services Building,Friday,10:00 AM,3:00 PM
U100009,Skyler Jackson,55,STEM Tutoring,PHYS 8,STEM Center,SSB 340,Student Services Building,"Monday, Thursday",11:00 AM,5:00 PM
U100009,Skyler Jackson,33,STEM Tutoring,CSE 22,STEM Center,SSB 340,Student Services Building,Thursday,3:00 PM,6:00 PM
U100009,Skyler Jackson,17,STEM Tutoring,CHEM 100,STEM Center,SSB 330,Student Services Building,Monday,10:00 AM,4:00 PM
U100010,Skyler Martinez,38,STEM Tutoring,CSE 24,STEM Center,SSB 340,Student Services Building,Thursday,3:00 PM,6:00 PM
U100010,Skyler Martinez,46,STEM Tutoring,MATH 21,STEM Center,SSB 320,Student Services Building,Friday,10:00 AM,3:00 PM
U100010,Skyler Martinez,19,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,"Monday, Wednesday",10:00 AM,5:00 PM
U100010,Skyler Martinez,21,STEM Tutoring,CSE 5,STEM Center,SSB 340,Student Services Building,Tuesday,3:00 PM,6:00 PM
U100011,Jamie Davis,44,STEM Tutoring,MATH 12,STEM Center,SSB 320,Student Services Building,Friday,10:00 AM,3:00 PM
U100011,Jamie Davis,67,STEM Tutoring,ENGR 57,STEM Center,SSB 340,Student Services Building,Monday,10:00 AM,11:00 AM
U100011,Jamie Davis,55,STEM Tutoring,PHYS 8,STEM Center,SSB 340,Student Services Building,"Monday, Thursday",11:00 AM,5:00 PM
U100011,Jamie Davis,29,STEM Tutoring,CSE 22,STEM Center,SSB 340,Student Services Building,"Monday, Wednesday",10:00 AM,5:00 PM
U100011,Jamie Davis,56,STEM Tutoring,PHYS 8,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,5:00 PM
U100012,Jamie Harris,35,STEM Tutoring,CSE 24,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,1:00 PM
U100012,Jamie Harris,43,STEM Tutoring,MATH 12,STEM Center,SSB 320,Student Services Building,"Monday, Tuesday, Wednesday, Thursday",10:00 AM,6:00 PM
U100012,Jamie Harris,18,STEM Tutoring,CHEM 100,STEM Center,SSB 330,Student Services Building,"Tuesday, Wednesday, Thursday",10:00 AM,5:00 PM
U100012,Jamie Harris,30,STEM Tutoring,CSE 22,STEM Center,SSB 340,Student Services Building,Tuesday,10:00 AM,1:00 PM
