studentID|studentName|advisor|tutoring|supplies|health|academic support|funding|total resources
U100001|Jordan Lee|4|6|6|2|3|4|25
U100002|Chris Thomas|4|4|6|4|2|4|24
U100003|Reese Jackson|4|4|4|5|4|5|26
U100004|Alex Brown|5|6|6|3|3|3|26
U100005|Reese Lee|5|4|5|5|5|6|30
U100006|Skyler Lee|5|6|4|5|3|5|28
U100007|Skyler Nguyen|4|5|4|5|5|4|27
U100008|Robin Patel|3|5|5|5|3|3|24
U100009|Skyler Jackson|5|4|6|3|3|5|26
U100010|Skyler Martinez|5|4|5|5|5|3|27
U100011|Jamie Davis|4|5|6|5|4|4|28
U100012|Jamie Harris|5|5|4|4|4|6|28
U100013|Robin Clark|3|4|6|4|4|6|27
U100014|Devin Thomas|5|6|5|4|6|5|31
U100015|Alex Gonzalez|6|4|6|3|5|4|28
U100016|Riley Lee|4|4|5|4|4|3|24
U100017|Taylor Lopez|5|6|5|6|4|3|29
U100018|Jordan Gonzalez|5|6|5|5|4|3|28
U100019|Kai Thomas|5|5|4|4|3|4|25
U100020|Jamie Thomas|3|4|4|4|4|6|25
U100021|Avery Harris|6|6|6|4|5|4|31
U100022|Drew Patel|5|5|5|4|3|5|27
U100023|Morgan Gonzalez|3|5|4|4|5|6|27
U100024|Taylor Kim|6|6|6|5|4|5|32
U100025|Chris Kim|6|6|5|6|3|4|30
U100026|Sam White|4|6|6|4|5|4|29
U100027|Morgan Martinez|5|5|4|3|5|5|27
U100028|Robin Thomas|4|4|4|4|5|6|27
U100029|Chris Hernandez|6|6|6|3|3|4|28
U100030|Taylor Martinez|4|6|4|3|3|4|24
U100031|Avery Perez|5|5|6|5|4|4|29
U100032|Morgan Garcia|5|4|5|3|4|5|26
U100033|Morgan Hernandez|6|4|4|5|5|4|28
U100034|Logan Kim|4|4|4|5|5|5|27
U100035|Sydney Lopez|3|6|4|5|3|4|25
U100036|Riley Harris|5|6|4|5|5|5|30
U100037|Jordan Patel|4|4|6|5|4|5|28
U100038|Reese Gonzalez|5|5|6|4|4|3|27
U100039|Jamie Lee|4|6|4|4|4|5|27
U100040|Robin Perez|4|4|4|6|5|5|28
U100041|Jamie Perez|4|5|4|5|5|5|28
U100042|Jordan Harris|4|4|4|4|5|4|25
U100043|Avery Gonzalez|4|5|6|4|4|6|29
U100044|Devin Harris|4|4|5|5|4|4|26
U100045|Devin Davis|4|5|5|4|4|6|28
U100046|Drew Hernandez|6|5|6|3|4|5|29
U100047|Morgan Thomas|6|6|4|4|4|4|28
U100048|Casey Wilson|5|4|4|5|3|3|24
U100049|Casey Clark|4|6|4|5|4|4|27
U100050|Devin Martinez|4|5|4|5|5|4|27
U100051|Kai Davis|5|4|4|4|3|6|26
U100052|Drew Lee|6|4|4|4|4|4|26
U100053|Reese Garcia|6|6|4|5|5|5|31
U100054|Avery Lee|6|4|5|5|5|5|30
U100055|Drew Nguyen|5|6|5|4|4|4|28
U100056|Logan Wilson|4|6|6|6|5|4|31
U100057|Skyler Harris|4|5|6|3|3|4|25
U100058|Riley Gonzalez|4|6|4|5|4|4|27
U100059|Skyler Thomas|5|5|4|4|4|4|26
U100060|Taylor White|3|5|6|3|4|6|27
U100061|Sam Jackson|6|4|6|5|4|6|31
U100062|Casey Hernandez|4|4|6|4|5|5|28
U100063|Chris Perez|4|5|6|3|4|5|27
U100064|Casey Patel|6|4|6|5|5|5|31
U100065|Logan Gonzalez|4|6|5|4|3|4|26
U100066|Sam Garcia|6|4|5|5|4|5|29
U100067|Chris Nguyen|4|5|6|4|3|3|25
U100068|Skyler Anderson|4|4|6|4|4|4|26
U100069|Alex Patel|3|5|4|4|4|4|24
U100070|Cameron Patel|5|5|6|4|4|5|29
U100071|Morgan Anderson|5|6|5|4|5|4|29
U100072|Jamie Wilson|5|4|5|4|6|5|29
U100073|Skyler Brown|4|5|5|5|4|4|27
U100074|Quinn Davis|4|5|5|3|4|6|27
U100075|Taylor Perez|4|5|4|5|5|5|28
U100076|Cameron Harris|4|6|6|4|3|5|28
U100077|Kai Patel|4|5|4|3|6|5|27
U100078|Casey Lee|5|6|6|4|5|4|30
U100079|Avery Davis|5|5|4|4|5|6|29
U100080|Riley Lopez|5|5|4|4|5|4|27
U100081|Robin Gonzalez|5|6|6|5|5|4|31
U100082|Cameron Lopez|5|6|4|4|4|5|28
U100083|Taylor Patel|4|4|5|5|3|4|25
U100084|Robin Harris|4|5|5|3|4|5|26
U100085|Robin Kim|4|4|6|4|4|6|28
U100086|Alex Nguyen|4|4|5|4|3|5|25
U100087|Morgan Harris|5|5|6|5|4|4|29
U100088|Casey Anderson|3|6|4|5|5|5|28
U100089|Skyler White|5|5|4|4|5|3|26
U100090|Alex Anderson|4|5|6|4|5|6|30
U100091|Riley Brown|6|5|4|6|5|4|30
U100092|Sam Brown|4|5|6|3|3|4|25
U100093|Taylor Clark|6|5|5|4|4|5|29
U100094|Jordan Jackson|4|6|4|4|3|6|27
U100095|Jamie Clark|4|5|6|5|4|5|29
U100096|Kai Brown|5|6|6|4|3|2|26
U100097|Drew Kim|6|4|6|3|3|5|27
U100098|Logan Thomas|4|5|6|3|2|4|24
U100099|Logan Martinez|4|4|6|4|3|5|26
U100100|Kai Garcia|5|5|4|5|4|5|28
